sim_time,population,metastatic_cells,avg_b,avg_d,avg_C,R_ratio
1,2,0,0.5348,0.0408,0.136,13.107843
2,3,0,0.56341,0.058538,0.195128,9.624633
3,3,0,0.502275,0.074739,0.249132,6.720339
4,4,0,0.429836,0.105785,0.352616,4.063304
5,6,0,0.466596,0.08503,0.283435,5.487393
6,6,0,0.456006,0.094569,0.315229,4.821958
7,8,0,0.444994,0.109288,0.364295,4.071733
8,12,0,0.419848,0.120065,0.400217,3.496839
9,14,0,0.408084,0.115107,0.38369,3.545257
10,19,0,0.407954,0.120877,0.402923,3.374948
11,21,0,0.402558,0.125896,0.419655,3.197531
12,27,0,0.431485,0.110792,0.369308,3.894537
13,32,1,0.401562,0.122346,0.407821,3.282173
14,36,3,0.412579,0.120632,0.402106,3.420151
15,48,0,0.389492,0.125963,0.419878,3.092105
16,57,2,0.414037,0.120177,0.40059,3.445226
17,65,4,0.391928,0.125602,0.418674,3.120388
18,73,7,0.382442,0.132079,0.440265,2.895544
19,81,2,0.382499,0.135373,0.451243,2.825525
20,106,1,0.385585,0.133142,0.443806,2.896049
21,126,3,0.389915,0.131197,0.437323,2.971984
22,148,5,0.392525,0.131217,0.437391,2.991417
23,179,5,0.406827,0.127414,0.424714,3.192944
24,213,6,0.394605,0.13179,0.4393,2.994194
25,257,7,0.398515,0.130929,0.436428,3.043761
26,328,10,0.387376,0.136343,0.454478,2.841183
27,397,10,0.382785,0.137707,0.459024,2.779706
28,463,10,0.384245,0.136598,0.455325,2.812967
29,546,20,0.382578,0.135655,0.452182,2.820239
30,654,1,0.373353,0.137621,0.458736,2.712914
31,825,15,0.404635,0.124225,0.414082,3.257285
32,1096,19,0.441037,0.108824,0.362746,4.052764
33,1475,27,0.475301,0.09471,0.3157,5.018495
34,2059,30,0.508962,0.081221,0.270735,6.266419
35,2891,86,0.542208,0.067807,0.226023,7.996344
36,4235,218,0.579817,0.05101,0.170034,11.366704
37,6382,235,0.614147,0.036911,0.123038,16.638394
38,9906,180,0.625859,0.0323,0.107668,19.376158
39,15786,105,0.635361,0.027995,0.093318,22.695262
40,25377,37,0.639011,0.026521,0.088404,24.094422
